Trajectory ID,SMILES,Molality,Monomer Molecular Weight,Degree of Polymerization,Density,CONDUCTIVITY,TFSI Diffusivity,Li Diffusivity,Poly Diffusivity,Transference Number
24039,O=C(*)OCCCCCCCCCCO*,1.47E+00,4.61E+02,1.20E+01,1.16E+00,9.71E-05,7.77E-08,5.49E-08,8.16E-08,-7.94E-02
24040,O=C(*)OCCCCN(CCO*)CC(F)F,1.39E+00,4.84E+02,1.60E+01,1.36E+00,1.02E-04,5.32E-08,2.72E-08,4.15E-08,1.79E-01
24041,O=C(*)NC(CCN*)C(=O)NCCCS,1.47E+00,4.78E+02,2.60E+01,1.43E+00,3.91E-05,1.11E-08,6.41E-09,1.08E-08,1.59E-01
24042,O=C(*)OCCCCCCCO*,1.39E+00,4.19E+02,1.60E+01,1.21E+00,2.24E-04,1.27E-07,5.19E-08,8.04E-08,1.07E-02
24043,O=C(*)OCCN(CCCCF)CCCO*,1.48E+00,4.80E+02,1.70E+01,1.28E+00,7.36E-05,5.34E-08,3.14E-08,3.54E-08,8.95E-02
24044,O=C(*)OCC(CO*)NCC=CCl,1.43E+00,4.52E+02,2.60E+01,1.45E+00,6.36E-05,3.41E-08,1.98E-08,2.15E-08,7.23E-02
24045,O=C(*)NCC(=O)NCCCCCCN*,1.47E+00,4.60E+02,1.30E+01,1.31E+00,7.96E-05,1.79E-08,1.55E-08,1.32E-08,4.18E-01
24046,O=C(*)NCCNCCCO*,1.44E+00,4.05E+02,1.70E+01,1.30E+00,1.00E-04,2.88E-08,2.06E-08,1.96E-08,3.84E-01
24047,O=C(*)OCCNCC(O*)C(F)(F)F,1.46E+00,4.60E+02,1.90E+01,1.53E+00,1.00E-04,5.10E-08,2.04E-08,2.12E-08,-1.91E-01
24048,O=C(*)NCCNCCCNCCN*,1.46E+00,4.47E+02,1.30E+01,1.27E+00,1.28E-04,2.55E-08,1.37E-08,1.68E-08,2.73E-01
24049,O=C(*)OCCCCCS(=O)CCO*,1.43E+00,4.67E+02,1.40E+01,1.37E+00,1.52E-04,4.07E-08,1.76E-08,2.33E-08,2.81E-01
24050,O=C(*)OCCN(CCF)CCO*,1.47E+00,4.38E+02,1.90E+01,1.39E+00,1.29E-04,6.35E-08,1.75E-08,2.86E-08,-5.63E-02
24051,O=C(*)OCCOCCOCCN*,1.44E+00,4.36E+02,1.40E+01,1.31E+00,2.78E-04,5.95E-08,3.75E-08,5.47E-08,3.69E-01
24052,O=C(*)OCCNC(=O)C(CC(F)F)N*,1.39E+00,4.69E+02,1.90E+01,1.54E+00,2.84E-05,9.92E-09,7.55E-09,6.25E-09,-7.07E-02
24053,O=C(*)OCCN(CCO*)CS(=O)(=O)O,1.45E+00,4.86E+02,1.90E+01,1.57E+00,4.86E-05,1.89E-08,8.61E-09,1.38E-08,-1.91E-01
24054,O=C(*)NCC(=O)NCCSCCCO*,1.45E+00,4.79E+02,1.30E+01,1.41E+00,7.23E-05,1.93E-08,1.58E-08,1.81E-08,3.80E-01
24055,O=C(*)NCCC(O*)C(=O)O,1.46E+00,4.06E+02,2.60E+01,1.52E+00,5.24E-05,1.38E-08,1.24E-08,8.94E-09,1.02E-01
24056,O=C(*)OCCN(CCF)CCCO*,1.39E+00,4.52E+02,1.70E+01,1.33E+00,1.52E-04,7.26E-08,3.57E-08,4.76E-08,1.37E-01
24057,O=C(*)NCCN(CCF)CCO*,1.48E+00,4.37E+02,1.90E+01,1.36E+00,2.09E-04,6.51E-08,3.01E-08,3.76E-08,2.31E-01
24058,O=C(*)OCCNCCCNCCO*,1.44E+00,4.49E+02,1.30E+01,1.27E+00,1.04E-04,2.71E-08,2.25E-08,3.36E-08,3.69E-01
24059,O=C(*)OCCOCCO*,1.41E+00,3.93E+02,1.90E+01,1.38E+00,2.62E-04,6.48E-08,3.05E-08,4.50E-08,2.66E-01
24060,O=C(*)NC(CN*)C(F)(F)F,1.49E+00,4.15E+02,3.10E+01,1.69E+00,4.47E-05,9.79E-09,1.28E-08,5.58E-09,3.36E-01
24061,O=C(*)OCCS(=O)CCO*,1.44E+00,4.25E+02,1.90E+01,1.52E+00,1.15E-04,2.20E-08,1.39E-08,1.52E-08,2.20E-01
24062,O=C(*)OCCSCCN*,1.47E+00,4.08E+02,1.90E+01,1.42E+00,1.32E-04,3.22E-08,3.32E-08,2.68E-08,3.56E-01
24063,O=C(*)OCCSCCO*,1.46E+00,4.09E+02,1.90E+01,1.45E+00,1.75E-04,5.52E-08,2.19E-08,3.94E-08,1.89E-01
24064,O=C(*)NCCC(=O)NCCCCO*,1.46E+00,4.47E+02,1.40E+01,1.35E+00,9.55E-05,2.25E-08,1.84E-08,1.50E-08,2.34E-01
24065,O=C(*)OCC(O)=C(O)C(O)=C(O)CO*,1.43E+00,4.65E+02,1.70E+01,1.65E+00,7.74E-05,2.09E-08,1.44E-08,9.01E-09,2.22E-01
24066,O=C(*)OCCN(CCCF)CCO*,1.37E+00,4.52E+02,1.90E+01,1.34E+00,6.97E-05,3.21E-08,2.52E-08,2.90E-08,6.83E-02
24067,O=C(*)NCCOCCOCCOCCO*,1.46E+00,4.80E+02,1.10E+01,1.30E+00,3.20E-04,7.50E-08,4.27E-08,6.62E-08,3.13E-01
24068,O=C(*)OCCCC#CC#CCCCO*,1.43E+00,4.53E+02,1.20E+01,1.28E+00,4.34E-05,3.21E-08,2.36E-08,2.92E-08,-3.07E-02
24069,O=C(*)OCCOCCN*,1.42E+00,3.92E+02,1.90E+01,1.36E+00,1.38E-04,3.02E-08,3.53E-08,3.34E-08,4.24E-01
24070,O=C(*)NCCS(=O)(=S)OCCN*,1.39E+00,4.71E+02,1.70E+01,1.58E+00,3.28E-05,8.81E-09,6.38E-09,7.57E-09,3.13E-01
24071,O=C(*)OCCNCCO*,1.42E+00,3.92E+02,1.90E+01,1.36E+00,1.73E-04,4.61E-08,2.28E-08,3.07E-08,2.81E-01
24072,O=C(*)NCCOCCN*,1.43E+00,3.91E+02,1.90E+01,1.38E+00,8.88E-05,1.33E-08,1.74E-08,1.79E-08,5.44E-01
24073,O=C(*)OCCOCCCCOCCO*,1.44E+00,4.65E+02,1.20E+01,1.27E+00,2.49E-04,8.60E-08,4.69E-08,7.38E-08,2.44E-01
24074,O=C(*)OCCSCCOCCO*,1.41E+00,4.53E+02,1.40E+01,1.38E+00,2.82E-04,8.77E-08,4.29E-08,7.02E-08,2.54E-01
24075,O=C(*)OCCNCNCCO*,1.48E+00,4.21E+02,1.60E+01,1.35E+00,9.67E-05,2.74E-08,1.82E-08,3.06E-08,3.47E-01
24076,O=C(*)OCCNNCCO*,1.42E+00,4.07E+02,1.70E+01,1.38E+00,1.67E-04,3.77E-08,1.69E-08,3.01E-08,2.94E-01
24077,O=C(*)OCCOCCOCCO*,1.43E+00,4.37E+02,1.40E+01,1.33E+00,2.99E-04,7.80E-08,4.39E-08,6.25E-08,3.14E-01
